ID;Data Agendamento;Finalizado?;Data Finalização;Empresa;Contato;Responsável;Descrição da Tarefa
1595;30/04/2016 02:59:59;Sim;10/05/2016 18:46:20;Pif Paf (Visconde do Rio Branco);;Victor;Cassiana está respondendo auditoria. Só sexta-feira.
1607;29/04/2016 02:59:59;Não;;Marilan;;Victor;Irineu passou o contato do Alexandre da Pluron. Transferiu e deu liberdade para conversar com o Edemir, mas a ligação caiu.
1593;09/04/2016 02:59:59;Não;;Neolat;;Alexandre Malhado;"Fui informado pela empresa que o Senhor Gerson não faz mais parte da equipe. Mandei e-mail para Luciano para darmos continuidade.

lucianoguimaraes@queijosipanema.com.br"
1608;08/04/2016 02:59:59;Não;;Frigorífico Better Beef;;Alexandre Malhado;"Jaqueline estava fazendo integração e não poe atender o telefone. Ligarei hoje no período da tarde.

"
1247;07/04/2016 02:59:59;Não;;Aguas da Prata;;Simone;06.10 Falei com Vanessa, disse que fechou contrato com a Ecolab de 2 anos no mes passado,enviei apresentacao pr e-mail - qualidade@aguasprata.com.br
1601;05/04/2016 02:59:59;Sim;30/03/2016 15:09:35;Kopenhagen;;Victor;Ricardo vai falar com Andreia e retornar para confirmar se pode me receber na segunda-feira (04/01).
1529;05/04/2016 02:59:59;Não;;New Italian;;Victor;Entrar em contato no início de Abril para agendar testa com André.
1589;04/04/2016 15:09:00;Não;;Kopenhagen;;Victor;Reunião marcada para amanhã!!
1558;02/04/2016 02:59:59;Sim;27/04/2016 18:13:45;Pif Paf (Visconde do Rio Branco);;Victor;Enviar e-mail para Cassiana uma semana antes de ir para Visconde do Rio Branco, e visitá-la. Ela estará disponível em Abril.
1528;02/04/2016 02:59:59;Não;;Hospital do Cancer de Barretos;;Victor;Denise vai fazer uma cirurgia semana que vem, e vai estar afastada até o fim de Março. Dar uma passada lá para alinhar início do novo trabalho.
1523;02/04/2016 02:59:59;Não;;Aladim;;Alexandre Malhado;Geisa relatou que o processo de terceirização não deu certo. A higienização voltou a ser feita pelos próprios colaboradores da empresa.  Entretanto, ela disse que a situação está muito apertada e que a empresa não tem nem clima para fazer cotações com novos fornecedores. Entrarei em contato futuramente.
1603;01/04/2016 02:59:59;Não;;Cobb Vantress;;Victor;Leonardo está em viagem. Ligar amanhã.
1597;01/04/2016 02:59:59;Sim;26/04/2016 17:38:40;Marilan;;Victor;Edemir vai falar com a Silvana e com o Irineu. Vai retornar para falar se podem receber visita amanhã.
1568;31/03/2016 02:59:59;Não;;Lat. Tiro;;Alexandre Malhado;Contato realizado com Patrícia, setor de compras. Ela solicitou um e-mail com nossos produtos e pediu para entrarmos em contato novamente no fim desse mês. 
1581;30/03/2016 02:59:59;Não;;Frimesa - Medianeira;;Victor;"- Gilson de férias até início de Abril;
- Grazi vai fazer programação de compra dos produtos até 20/03
- Tudo OK
- Tentar passar lá semana que vem"
1549;30/03/2016 02:59:59;Não;;Cooperativa Lar;;Victor;Ligar amanhã
1604;29/03/2016 02:59:59;Não;;C-Vale;;Victor;Partir, começar! Vaaaamoo!!
1592;25/03/2016 02:59:59;Não;;Guabi Petcare;;Victor;Alderley só amanhã.
1575;25/03/2016 02:59:59;Não;;Jazam Alimentos;;Victor;Produtos deixados para teste. E-mail enviado perguntando qual foi mais eficiente para limepeza dos tachos.
1567;25/03/2016 02:59:59;Sim;06/06/2016 14:21:31;Catupiry (Bebedouro);;Victor;Retornar em 24/03.  Está enrolada com auditorias.
1562;25/03/2016 02:59:59;Não;;Danone - Água;;Victor;Rafael de férias. Resposta automática. Enviado e-mail para Samara.
1542;25/03/2016 02:59:59;Sim;30/03/2016 14:33:59;Kopenhagen;;Victor;Andre não trabalha mais na empresa. E-mail encaminhando para Ricardo Ishikawa. Vai responder com data da visita.
1545;24/03/2016 02:59:59;Sim;21/03/2016 18:37:20;Danone - Água;;Victor;Enviado e-mail novamente.
1577;23/03/2016 02:59:59;Não;;Casa Suíca;;Victor;E-mail solicitando acompanhamento de higienização.
1563;23/03/2016 02:59:59;Sim;23/03/2016 14:32:48;Guabi Petcare;;Victor;Estava viajando e deixou para testarem os produtos. Vai ver se fizeram os testes e vai dar retorno.
1559;22/03/2016 02:59:59;Não;;Predilecta;;Victor;Vai estar em semana de auditoria. Tentar passar na outra semana.
1541;22/03/2016 02:59:59;Não;;Moinho Santa Clara;;Jessica;Ligar proxima semana
1533;22/03/2016 02:59:59;Não;;Beira Rio;;Alexandre Malhado;Ismael está de férias. Retorna dia 21-03-16.
1573;19/03/2016 02:59:59;Não;;Frig West;;Alexandre Malhado;Rui não se encontra na empresa.
1580;17/03/2016 02:59:59;Não;;Marilan;;Victor;"Edemir disse que ia passar planilha para Leticia com os produto aprovados, mas Irineu disse que ele ainda não passou.

Passar lá semana que vem quando estiver indo embora de Rio Preto"
1566;17/03/2016 02:59:59;Não;;Frigorífico Boi Mix;;Alexandre Malhado;CNPJ 18.715.000/0001-33 foi consultado no dia 11/03/16 e está aprovado.
1548;17/03/2016 02:59:59;Não;;Freskito;;Renan;11/03/2016 Marcada novamente visita para dia 21/03 - parte da manhã - usa prodts ecolab, pediu amostra do contratipo topax 67 - detergente quaternário de amônia sem espuma / sapone bac / kimi liquid / neuter / pro hs - Adriana vai visitar
1571;16/03/2016 02:59:59;Não;;Divine Motel;;Alexandre Malhado;"Não consigo contato ia telefone. E-mail enviado novamente.
"
1570;16/03/2016 02:59:59;Não;;Hospital São Francisco de Assis;;Alexandre Malhado;Reunião realizada dia 08/03/16. Irei mandar documentação para agendarmos o teste com os produtos.
1554;16/03/2016 02:59:59;Não;;Hospital Austa;;Alexandre Malhado;Contato por telefone não foi possível. Novo e-mail enviado.
1507;16/03/2016 02:59:59;Não;;Kodilar Rio Preto;;Alexandre Malhado;Entrei em contato com o Bruno por telefone e ele relatou que no momento não está atendendo fornecedores. Pediu para entrar em contato em meados do mês de março..
1579;15/03/2016 02:59:59;Não;;Bebidas Poty;;Victor;Não está essa semana. Ligar semana que vem e tentar agendar. Eles vão estar em auditoria.
1576;15/03/2016 02:59:59;Não;;Alimentos Wilson;;Victor;Ligar na segunda ou terça-feira para agendar na volta de Rio Preto.
1551;15/03/2016 02:59:59;Sim;18/03/2016 14:15:55;Guabi Petcare;;Victor;Alderley disse que reprogramaram testes.
1550;15/03/2016 02:59:59;Sim;15/03/2016 02:59:59;Pro Nutri Refeições;;Jessica;Reunião Pro Nutri 16 hs.
1546;15/03/2016 02:59:59;Não;;Laticinios Estrela D Oeste;;Alexandre Malhado;"Contato realizado com Laércio para verificar o resultado do teste:

PRO HA 3000 CL: Foi usado 700 ml para cada gerador de espuma. Resultado satisfatório.

ÁCIDO PERACÉTICO: Laércio está esperando terminar a reforma no laboratório para poder fazer os teste laboratoriais. O uso desse produto está suspenso até a reforma terminar. Essa reforma irá demorar mais duas semanas.

PRO HA ALC: Não apresentou resultado satisfatório. Iremos fazer novo teste."
1543;15/03/2016 02:59:59;Sim;14/03/2016 11:30:52;Frigorífico Boi Mix;;Alexandre Malhado;"Passar quando estiver indo para Estrela D´Oeste. Contato na empresa com Fernanda (recepcionista e compradora). Atualmente compra produtos do Faria.
Visitar sempre no período da tarde."
1538;15/03/2016 02:59:59;Não;;Laticínios Carolina;;Alexandre Malhado;Vinícius não se encontra na sala.
1532;15/03/2016 02:59:59;Não;;;;Victor;Acompanhamento da higienização marcado para 14/03 às 23:00.
1487;15/03/2016 02:59:59;Não;;Zippy Alimentos;;Alexandre Malhado;O pessoal do setor administrativo está de férias. Irão retornar dia 14-03-16.
1472;15/03/2016 02:59:59;Não;;Frigorífico Olhos d'Agua;;Alexandre Malhado;Contato realizado via telefone. A pessoa responsável (Mari) está de férias e retornará dentro de 15 dias. 
1539;12/03/2016 02:59:59;Sim;21/03/2016 18:23:21;Jazam Alimentos;;Victor;E-mail perguntando qual produto está sendo utilizado agora. Ficar em cima.
1526;12/03/2016 02:59:59;Não;;New Millen;;Victor;Prima, lembrei de novo só no fim da  tarde. Está aí.
1537;10/03/2016 02:59:59;Não;;Hikari;;Renan;08.03.2016 Falei com Alice, pediu apresentação por e-mail – alicemurai@hikari.com.br – trabalha com duas empresas mas não me passou o nome
1582;09/03/2016 02:59:59;Não;;Consuma;;Jessica;Reunião
1556;09/03/2016 02:59:59;Não;;Hikari;;Renan;07.03.2016 Prospectei hoje, falei com Raquel da qualidade pediu p/retornar amanhã e falar com a Alice(qualidade)
1536;09/03/2016 02:59:59;Sim;21/03/2016 18:11:21;Danone - Água;;Victor;Enviado e-mail para retomar conversa. Acompanhar.
1524;09/03/2016 02:59:59;Não;;;Marcos;Alexandre Malhado;Visita realizada no dia 10-02-16. Marcos irá entrar em contato assim que avaliar o processo interno de higienização.
1569;08/03/2016 02:59:59;Sim;07/04/2016 12:23:11;Frigorífico Better Beef;;Alexandre Malhado;Nova tentativa de contato. Jaqueline pediu para que mandasse novo e-mail. E-mail enviado. Ligarei amanhã cedo para lembrá-la..
1565;08/03/2016 02:59:59;Sim;11/03/2016 17:30:10;Salute São Carlos;;Alexandre Malhado;Regiane ainda se encontra afastada. Não responde aos e-mails. A atendente relatou que não ficou ninguém ocupando a vaga da Regiane. 
1552;08/03/2016 02:59:59;Sim;10/03/2016 18:30:34;Catupiry (Bebedouro);;Victor;Enviado e-mail para Thalita, para testarmos agora em Março.
1544;08/03/2016 02:59:59;Sim;10/03/2016 18:57:03;Marilan;;Victor;Reencaminhado e-mail para Irineu. Ficar em cima.
1531;08/03/2016 02:59:59;Sim;11/03/2016 17:31:52;Hospital São Francisco de Assis;;Alexandre Malhado;"Não mandaram o e-mail com a data da reunião. Mandei um e-mail solicitando uma data.
"
1527;07/03/2016 19:00:00;Sim;17/03/2016 13:03:13;Pro Nutri Refeições;;Jessica;Reunião
1574;05/03/2016 02:59:59;Sim;11/03/2016 18:01:11;Laticínios Carolina;;Alexandre Malhado;Contato realizado com Vinícius. Visita agendada para dia 04-03-16 às 16h00.
1557;04/03/2016 02:59:59;Não;;Fugini;;Alexandre Malhado;Contato realizado.  Atendente pediu para enviar e-mail para Ângelo (setor de compras). E-mail enviado para compras2@fugini.com.br
1555;04/03/2016 02:59:59;Sim;29/02/2016 18:32:49;Laticinios Estrela D Oeste;;Alexandre Malhado;"Teste realizado no dia 24-02-2016.

Nesse dia foi testado o PRO HA 3000 CL no chão da produção do laticínio. Usamos 500 ml para cada gerador de espuma. O resultado foi satisfatório, porém o encarregado do setor (Senhor Deva) disse que irá usar 700 ml.

ÁCIDO PERACÉTICO  será usado no dia de hoje. Após o uso o laboratório do próprio laticínio irá fazer testes para verificar se foi aprovado ou não.

PRO HA ALC também será usado hoje. Na data de ontem eles já haviam higienizado os latões.


 "
1519;04/03/2016 02:59:59;Sim;10/03/2016 18:53:08;Guabi Petcare;;Victor;Alderley disse que testarão no início de Marco.
1535;03/03/2016 02:59:59;Não;;Frigosul;;Alexandre Malhado;Contato via telefone com Marcela. Disse que irá enviar hoje o e-mail com os produtos e quantidade dos produtos usados.
1508;03/03/2016 02:59:59;Sim;10/03/2016 20:48:18;Alimentos Wilson;;Alexandre Malhado;"Vera não faz mais parte da empresa. Agendei uma visita com Rachel (Controle de Qualidade) dia 04-03-2016 às 10h00. Mandar e-mail dia 02-04-2016 para lembrá-la da visita

rachelgama@alimentoswilson.com.br"
1578;02/03/2016 02:59:59;Sim;17/03/2016 19:26:01;Frig West;;Alexandre Malhado;Rui não se encontra na empresa.
1547;02/03/2016 02:59:59;Sim;11/03/2016 17:27:10;Beira Rio;;Alexandre Malhado;Visita realizada com sucesso. Beira Rio é uma graxaria de porte pequeno. Ismael disse que usa atualmente 75 litros de desengraxante e 50 litros de sabonete. Ele irá agendar uma data para teste.
1490;02/03/2016 02:59:59;Não;;Special Dog;;Victor;Roberta está de férias. Evandro disse que ela volta dia 29 de Fevereiro. Tentar novamente.
1470;02/03/2016 02:59:59;Sim;10/05/2016 17:38:11;Minerva Foods;;Victor;Vitor estará indo para Araguaína na semana que vem. Tentar visitar na outra semana. Está interessado em alinhar o teste logo, mas ainda não tem tudo que precisa resolvido.
601;02/03/2016 02:59:59;Sim;14/05/2015 13:45:31;Danone - Água;;Victor;Divisão de águas acabou de fechar contrato com a Kalykim por 12 meses. Ano que vem começar a acompanhar em Março.
556;02/03/2016 02:59:59;Sim;01/03/2016 12:54:26;Danone - Água;;Victor;Divisão de águas acabou de fechar contrato com a Kalykim por 12 meses. Ano que vem começar a acompanhar em Março.
1572;01/03/2016 02:59:59;Sim;03/03/2016 10:12:59;Hospital São Francisco de Assis;;Alexandre Malhado;Contato realizado via telefone com Giselda. Ela irá marcar uma reunião para a próxima semana. Me avisará por e-mail.
1530;01/03/2016 02:59:59;Sim;01/03/2016 13:39:37;Frigosul;;Alexandre Malhado;Contato realizado rapidamente por telefone, uma vez que ela estava em reunião. Ela ratificou que irá mandar a quantidade e o nome dos produtos usados atualmente.
1492;01/03/2016 02:59:59;Sim;01/03/2016 13:35:32;Beira Rio;;Alexandre Malhado;Visita agendada para dia 29-02-2016 às 08h30 com Ismael.
1265;01/03/2016 02:59:59;Não;;Mondelez;;Victor;Suelen está de licença maternidade até 25/02/2016.
1561;29/02/2016 12:30:58;Sim;29/02/2016 18:17:08;Laticínios Carolina;;Renan;Já que o Vinícius não atendeu devia ter tentado falar com o Gerente Industrial de acordo com histórico que eu te falei, eu nunca falei com Vinicius, nós já estamos atrasados no cliente pois estavam trocando , espero não termos demorado demais, liga na segunda e agenda de irmos lá.
1504;26/02/2016 02:59:59;Não;;Fábricas de Doce Santa Helena;;Alexandre Malhado;"O primeiro e-mail enviado dia 21-01-16 não foi respondido. Mandei novo e-mail para francislaine.roberta@santahelena.com
Aguardando resposta."
1534;25/02/2016 02:59:59;Sim;25/02/2016 13:37:22;Hospital São Francisco de Assis;;Alexandre Malhado;Giselda estava em uma reunião e só poderá atender amanhã.
1514;25/02/2016 02:59:59;Sim;25/02/2016 12:55:08;Laticinios Estrela D Oeste;;Alexandre Malhado;Teste marcado para o dia 24-02-16 às 14h30.
1495;25/02/2016 02:59:59;Sim;11/03/2016 17:51:09;Divine Motel;;Alexandre Malhado;Nenhuma resposta. Novo e-mail enviado.
1553;24/02/2016 02:59:59;Sim;07/04/2016 12:18:55;Neolat;;Alexandre Malhado;Gerson não mandou o e-mail que havia prometido. Tentei entrar em contato e não foi possível.
1477;24/02/2016 02:59:59;Sim;22/02/2016 17:19:23;Frigosul;;Alexandre Malhado;E-mail enviado agradecendo a visita e lembrando sobre os produtos.
1564;23/02/2016 02:59:59;Sim;23/02/2016 02:59:59;Laticínios Carolina;;Alexandre Malhado;"Contato realizado via telefone. O responsável pelo setor de higienização (Vinícius) estava em uma reunião e não foi possível me atender.
"
1505;23/02/2016 02:59:59;Sim;29/02/2016 18:59:20;Frig West;;Alexandre Malhado;Rui não se encontra na empresa.
1467;23/02/2016 02:59:59;Não;;Frango Ouro;;Alexandre Malhado;Débora não se encontra na empresa. Tentar mais tarde.
1486;20/02/2016 01:59:59;Sim;23/02/2016 12:35:03;Hospital Austa;;Alexandre Malhado;"Pediu para enviar e-mail com as fichas técnicas e o número de registro da ANVISA.
"
1475;20/02/2016 01:59:59;Sim;19/02/2016 16:36:12;Frigosul;;Alexandre Malhado;Visita realizada no dia 17-02-16. Marcela irá passar por e-mail os produtos e a quantidade que utiliza atualmente.
1468;19/02/2016 16:00:00;Não;;A melhor alimentação Franco Da Rocha;;Jessica;Visita para instalação de diluidor sexta as 14:00 hs.
1478;18/02/2016 01:59:59;Sim;19/02/2016 16:28:58;Laticinios Estrela D Oeste;;Alexandre Malhado;Laércio fez uma viagem de trabalho e só voltará para a empresa na próxima quarta-feira
1473;18/02/2016 01:59:59;Sim;19/02/2016 16:30:28;Frigosul;;Alexandre Malhado;Visita agendada para dia 17/02 às 14h30 com Marcela.
1494;17/02/2016 01:59:59;Sim;23/02/2016 13:03:30;Neolat;;Alexandre Malhado;Consegui contato com Gerson e o mesmo me disse que irá passar o relatório com os produtos de higiene usados atualmente.
1483;17/02/2016 01:59:59;Sim;29/02/2016 18:55:57;Frigorífico Better Beef;;Alexandre Malhado;Jaqueline estava em treinamento.
1518;16/02/2016 01:59:59;Sim;23/02/2016 12:48:11;Hospital São Francisco de Assis;;Alexandre Malhado;Giselda não retornou o e-mail. Passei no hospital dia 03-02-2016 e deixei uma agenda para Giselda e outra para Ludmila.  Giselda pediu para entrar em contato com ela por e-mail no dia 15-02-2016.
1522;13/02/2016 01:59:59;Sim;29/02/2016 18:42:52;Salute São Carlos;;Alexandre Malhado;Fui informado novamente que a Regiane ainda não voltou do afastamento, porém está atendendo pelo e-mail (compras@salute.com.br). Entrei em contato pelo e-mail e estou aguardando a resposta.
1516;13/02/2016 01:59:59;Sim;10/03/2016 18:43:32;Bebidas Poty;;Victor;Sandra pediu para ligar na segunda-feira e agendar.
1515;13/02/2016 01:59:59;Sim;12/02/2016 18:23:57;Minerva Foods;;Victor;Ligar sexta.
1513;13/02/2016 01:59:59;Sim;22/02/2016 13:25:11;Frig West;;Alexandre Malhado;Ligar após as 15 horas
1501;13/02/2016 01:59:59;Sim;11/02/2016 12:15:07;Matilat;;Alexandre Malhado;Mais uma vez falei com a Ingrid e a mesma me disse que passou o recado para Ana Carolina e que a mesma iria entrar em contato. Aguardando.
1510;12/02/2016 01:59:59;Sim;30/03/2016 14:25:37;Cobb Vantress;;Victor;Leonardo está de férias até dia 10/02. 
1500;12/02/2016 01:59:59;Sim;15/02/2016 12:09:13;Frigosul;;Alexandre Malhado;Contato realizado com Marcela. Ela não lembrou dos contatos anteriores. Pediu para que eu retornasse o contato dia 11-02-2016 no período da tarde para conversarmos a respeito.
1482;12/02/2016 01:59:59;Sim;29/02/2016 14:42:44;Pif Paf (Visconde do Rio Branco);;Victor;"Não vão testar nenhuma empresa nesse semestre. A diretoria está com outras prioridades e não vão fechar com nenhuma empresa ainda, e nem testar a Tecpon que já estava agendada.

Conversar com CASSIANA no ramal da Dani, tentar agendar visita para mostrar tudo que a gente quer fazer."
1479;12/02/2016 01:59:59;Sim;05/02/2016 15:45:27;Matilat;;Alexandre Malhado;Fui atendido mais uma vez pela Ingrid. A mesma disse que irá pedir para que a Ana Carolina verifique os e-mails que foram enviados.
1476;11/02/2016 01:59:59;Sim;22/02/2016 13:53:17;AB Brasil;;Alexandre Malhado;Visita agendada para o dia 10-02-2016 às 10h30 com o Senhor Marcos Capobianco.
1321;10/02/2016 01:59:59;Não;;;;Victor;"Paula disse que está fechando o bidding essa semana, e não há tempo para homologar novos fornecedores. Já está fechando os contratos agora.

Enviei e-mail com catálogo agora, e disse que vou entrar em contato novamente em Fevereiro para tentar inicar o processo de homologação."
1525;09/02/2016 01:59:59;Sim;22/02/2016 13:41:13;Divine Motel;;Alexandre Malhado;Mariá respondeu e-mail dizendo que essa semana está muito enrolada e provavelmente semana que vem conseguirá me atender. Aguardando agendamento de visita.
1498;09/02/2016 01:59:59;Sim;15/02/2016 11:54:31;Frigorífico Better Beef;;Alexandre Malhado;Jaqueline disse que o Sandro (Supervisor) voltou ontem de viagem e provavelmente irá responder o e-mail hoje. 
1496;06/02/2016 01:59:59;Sim;05/02/2016 16:43:42;Pif Paf (Visconde do Rio Branco);;Victor;Parece que vão testar uma distribuidora da Tecpon antes, por decisão da diretoria. Ligar na sexta-feira que ela vai ter maiores informações.
1503;05/02/2016 01:59:59;Sim;11/02/2016 12:19:21;Neolat;;Alexandre Malhado;Idem observação anterior.
1485;05/02/2016 01:59:59;Sim;25/01/2016 11:00:22;Frango Facio;;Alexandre Malhado;Visita realizada. Vitor confirmou o que já havia dito: os produtos foram aprovados. Mostrei a ele a economia que a empresa terá com os nossos produtos. Ele quer conversar primeiramente com o fornecedor atual antes de fechar alguma coisa com a gente. Pediu para que aguardemos algumas semanas.
1517;04/02/2016 01:59:59;Sim;10/03/2016 18:49:17;;;Victor;Marcar teste.
1509;04/02/2016 01:59:59;Sim;12/02/2016 15:21:39;Laticinios Estrela D Oeste;;Alexandre Malhado;Aguardando os produtos chegar pela transportadora para marcar o dia do teste com o Senhor Laércio.
1488;04/02/2016 01:59:59;Sim;12/02/2016 15:23:53;Frig West;;Alexandre Malhado;Solicitei o Kimi Kroko para a Simone. Assim que chegar irei marcar o teste com o Ruy. Avisar o Ruy que é do Victor, filho do Gilberto da Sebo Sol.
1471;03/02/2016 01:59:59;Sim;04/02/2016 16:49:07;Neolat;;Alexandre Malhado;Gerson ainda não respondeu e-mail. Tentativa de contato via telefone, porém o mesmo não se encontrava na empresa.
1469;03/02/2016 01:59:59;Sim;04/02/2016 16:10:03;Hospital São Francisco de Assis;;Alexandre Malhado;Contato realizado com  a Gizelda. E-mail encaminhado sobre o nosso desinfetante sem enxágue (Pro Bac Bi). Aguardando retorno.
1466;03/02/2016 01:59:59;Sim;02/02/2016 23:17:14;Divine Motel;;Alexandre Malhado;Mariá ainda não respondeu o e-mail dizendo se olhou ou não o catálogo. Mandei outro e-mail pedindo agendamento de visita.
1240;03/02/2016 01:59:59;Sim;25/02/2016 15:17:47;Santa Helena;;Victor;"Regina não está mexendo em nada no momento, pois haverá uma mudança grande na empresa para 2016. Ela não vai mexer em nada até o meio de 2016.

Vai ter uma auditoria agora em Outubro. Disse para ligar ano que vem :/."
1512;30/01/2016 01:59:59;Sim;29/01/2016 18:42:15;Neolat;;Alexandre Malhado;Gerson ainda não respondeu e-mail. Tentativa de contato via telefone, porém o mesmo não se encontrava na empresa.
