ID;Nome;Nome Fantasia;Razão Social;CNPJ;Telefone;Celular;E-mail;WhatsApp;Website;Endereço Completo;Rua;Número;Complemento;Bairro;Cidade;Estado;CEP;Setor;Categoria;Responsável;Data Cadastro;Total Histórico;Total Negócios;Descrição
2053;Abm  - Wap Metal;Abm  - Wap Metal;;;(1) 12894-3933;;;;;Luis Vieira, 555, Jardim Ambuita, 06695570;Luis Vieira;555;;Jardim Ambuita;;;06695570;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2446;Abra Suprimentos;Abra Suprimentos;;;(1) 12083-5358;;;;;Coronel Juvenal De Campos Castro, 311, Vila Santa Teresa (Zona Sul), 04187320;Coronel Juvenal De Campos Castro;311;;Vila Santa Teresa (Zona Sul);;;04187320;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2148;Acj - Allparmegiana;Acj - Allparmegiana;;;;;;;;Leao Machado, 100, Jaguare, 05328020;Leao Machado;100;;Jaguare;;;05328020;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2081;Actans Rascal Entrega Vila Lobos;Actans Rascal Entrega Vila Lobos;;;(1) 14280-2492;;;;;Murilo Furtado, 4777, Lapa, 05477000;Murilo Furtado;4777;;Lapa;;;05477000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2013;Actans Rascal Escritorio;Actans Rascal Escritorio;;;(1) 13576-7200;;;;;Doutora Ruth Cardoso, 4777, Jardim Universidade Pinheiros, 05477000;Doutora Ruth Cardoso;4777;;Jardim Universidade Pinheiros;;;05477000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
46;Addoratti Festas;Addoratti Festas;;;(11) 2535-8810;;;;;Avenida Jacu Pêssego, 35, Altura 4200, Nova Trabalhadores, Álvares Florence, SP;Avenida Jacu Pêssego;35;Altura 4200;Nova Trabalhadores;Álvares Florence;SP;;Geral / Outros;Sem Categoria;Não Atribuído;28/05/2015 00:00;17;0;
750;Adega Santiago;Adega Santiago;;;(11) 3758-4446;;;;;Avenida Magalhães de Castro, 12000, Piso 4 - Shopping Cidade Jardim, Cidade Jardim, Álvares Florence, SP;Avenida Magalhães de Castro;12000;Piso 4 - Shopping Cidade Jardim;Cidade Jardim;Álvares Florence;SP;;Geral / Outros;Sem Categoria;Não Atribuído;27/10/2015 21:27;2;0;
723;Adria Alimentos do Brasil;Adria Alimentos do Brasil;;;(11) 3883-9100;;;;;Rua Pedro José Lorenzini , 64, Santo Antonio, Cerro Negro, SP;Rua Pedro José Lorenzini ;64;;Santo Antonio;Cerro Negro;SP;;Geral / Outros;Sem Categoria;Não Atribuído;27/09/2015 05:58;2;0;
413;Advance Transatur;Advance Transatur;;44471985000109;(11) 5928-7577;;;;http://www.advancetransatur.com.br/empresa.php;Rua José Solana, 600, Jardim das Camélias (Zona Sul), Álvares Florence, SP, 04829280;Rua José Solana;600;;Jardim das Camélias (Zona Sul);Álvares Florence;SP;04829280;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:22;0;0;
2151;Afonso;Afonso;;;(1) 14337-1110;;;;;Doutor Flaquer, 639, Centro, 09710180;Doutor Flaquer;639;;Centro;;;09710180;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
983;Agerip;Agerip;;47525340000108;(17) 3202-2339;;;;www.agerip.com.br;Rodovia Assis Chateaubriand - Km 178, Entre Rio Preto e Guapiaçú, Fazenda Monte Alto (Zona Rural), Nova Brasilândia, SP, 15064000;Rodovia Assis Chateaubriand - Km 178;;Entre Rio Preto e Guapiaçú;Fazenda Monte Alto (Zona Rural);Nova Brasilândia;SP;15064000;Geral / Outros;Sem Categoria;Não Atribuído;24/09/2015 04:27;5;0;
2067;Agrodanieli - Ibiaca  - Rs;Agrodanieli - Ibiaca  - Rs;;;(5) 49684-5068;;;;;Vl Rossi Rs 467, Interior, 99940000;Vl Rossi Rs 467;;;Interior;;;99940000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2005;Agrodanieli - Tapejara;Agrodanieli - Tapejara;;;(5) 43344-4280;;;;;Localidade De Sao Silvestre, Interior, 99950000;Localidade De Sao Silvestre;;;Interior;;;99950000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2124;Agrodanieli - Tapejara Sao Domingos;Agrodanieli - Tapejara Sao Domingos;;;(5) 43344-4200;;;;;Vi Sao Domingos, Interior, 99950000;Vi Sao Domingos;;;Interior;;;99950000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2302;Agrodanieli - Vila Langaro;Agrodanieli - Vila Langaro;;;(5) 43344-4200;;;;;Rodovia Rs 463 Km 14,5, Linha Schleder, 99950000;Rodovia Rs 463 Km 14,5;;;Linha Schleder;;;99950000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
235;Agua Min.Sta Candida Da Flora - Mococa;Agua Min.Sta Candida Da Flora - Mococa;;;(19) 3656-0221;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;07/08/2015 21:42;0;0;
978;Agua Poá;Agua Poá;;;;(11) 9721-20213;;(11) 9721-20213;;SP;;;;;;SP;;Geral / Outros;Sem Categoria;Não Atribuído;24/08/2015 18:24;0;0;
522;Aguas da Prata;Aguas da Prata;;;(19) 3642-9310;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;06/10/2015 20:48;1;0;
2387;Aguas Petropolis;Aguas Petropolis;;;;;;;;Professor Vicente Rao, 500, Santo Amaro, 04605000;Professor Vicente Rao;500;;Santo Amaro;;;04605000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
492;AGUIA DE FOGO SERVICE;AGUIA DE FOGO SERVICE;;11751311000109;(11) 5523-3147;;;;;Estrada da Barrinha, 1699, Paineiras, SP, 06890000;Estrada da Barrinha;1699;;;Paineiras;SP;06890000;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:30;0;0;
85;Aladim;Aladim;;;(17) 3253-2010;;;;;Avenida Victório Baccan, 1973, B, São José, Bento Fernandes, SP;Avenida Victório Baccan;1973;B;São José;Bento Fernandes;SP;;Geral / Outros;Sem Categoria;Não Atribuído;07/11/2014 21:25;16;0;
2058;Aliansce Sonae - Shopping Leblon;Aliansce Sonae - Shopping Leblon;;;(1) 13371-3672;;;;;Afrânio De Melo Franco, 290, Leblon, 22430060;Afrânio De Melo Franco;290;;Leblon;;;22430060;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2295;Aliansce Sonae - Shopping Sao Gonçalo;Aliansce Sonae - Shopping Sao Gonçalo;;;;;;;;Br-101, 100, Boa Vista, 24466310;Br-101;100;;Boa Vista;;;24466310;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
132;Alibra;Alibra;;;;;;;;Agudos do Sul, PR;;;;;Agudos do Sul;PR;;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 22:27;1;0;
293;Alimentos Wilson;Alimentos Wilson;;;(18) 3941-9000;;;;;Içara, SP, 19570000;;;;;Içara;SP;19570000;Geral / Outros;Sem Categoria;Não Atribuído;30/03/2015 17:48;6;0;
388;Alinutri;Alinutri;;;(19) 3844-1100;;;;;Av.Antonio Batista Piva, 135, Jose Paulino Nogueira, Fruta de Leite, SP;Av.Antonio Batista Piva;135;;Jose Paulino Nogueira;Fruta de Leite;SP;;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:00;2;0;
397;Alinutri Refeições para Coletividade;Alinutri Refeições para Coletividade;;;(19) 3844-1100;;;;;Av.Antonio Batista Piva, 135, Jose Paulino Nogueira, Fruta de Leite, SP, 13140000;Av.Antonio Batista Piva;135;;Jose Paulino Nogueira;Fruta de Leite;SP;13140000;Geral / Outros;Sem Categoria;Não Atribuído;07/08/2015 21:25;1;0;
2304;All Parmegiana - Grupo;All Parmegiana - Grupo;;;(1) 14543-2273;;;;;Antônia Rosa Fioravanti, 3270, Jardim Rosina, 09390120;Antônia Rosa Fioravanti;3270;;Jardim Rosina;;;09390120;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
251;Alsácia;Alsácia;;;(11) 33848390;;comercial@sacia.com.br;;;Rua Pires Pimentel , 301, SP;Rua Pires Pimentel ;301;;;;SP;;Geral / Outros;Sem Categoria;Não Atribuído;07/07/2015 22:17;5;0;
2490;Ambev - Juatuba - Mg;Ambev - Juatuba - Mg;;;;;;;;Rodovia Mg 0,50, Centro, 35675000;Rodovia Mg 0,50;;;Centro;;;35675000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
708;América Restaurante;América Restaurante;;;(11) 5644-6866;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;24/08/2015 23:04;1;0;
2389;American Star;American Star;;;(1) 15180-8400;;;;;Professor Francisco Morato, 1706, Butanta, 05512200;Professor Francisco Morato;1706;;Butanta;;;05512200;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
424;Amor Aos Pedaços;Amor Aos Pedaços;;;(11) 2198-1055;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;26/05/2015 17:00;6;0;
271;Amor e Sabor;Amor e Sabor;;;(11) 22282077;;vylma.allves@bol.com.br;;;SP;;;;;;SP;;Geral / Outros;Sem Categoria;Não Atribuído;12/06/2015 02:18;0;0;
2316;Ana Luiza Zuccolotto;Ana Luiza Zuccolotto;;;;;;;;Alves Guimarães, 408, Pinheiros, 05410000;Alves Guimarães;408;;Pinheiros;;;05410000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2267;Andre;Andre;;;;;;;;Itapicuru, 801, Perdizes, 05006000;Itapicuru;801;;Perdizes;;;05006000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
224;Antoniolli Massas;Antoniolli Massas;;;(11) 23611077;;adm.antonio@gmail.com;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;12/06/2015 02:18;1;0;
2362;Ap. Av. Dos Estados;Ap. Av. Dos Estados;;;;;;;;Dos Estados, 1586, Santa Terezinha, 09210580;Dos Estados;1586;;Santa Terezinha;;;09210580;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2115;Apm 28 De Julho;Apm 28 De Julho;;;(1) 14227-1126;;;;;Oriente, 501, Barcelona, 09551010;Oriente;501;;Barcelona;;;09551010;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2380;Apm Da Ee Jose De San Martin;Apm Da Ee Jose De San Martin;;;;;;;;Delta, 79, Jardim Nair, 08071060;Delta;79;;Jardim Nair;;;08071060;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
99;Aqualav;Aqualav;;;(11) 4428-1490;;;;;Rua João de Godoy, 200, Biritiba, Baía Formosa, SP, 08560590;Rua João de Godoy;200;;Biritiba;Baía Formosa;SP;08560590;Geral / Outros;Sem Categoria;Não Atribuído;04/12/2014 12:54;4;0;
321;Arabian Bread;Arabian Bread;;;(11) 4070-7050;;;;;Avenida Piraporinha , 866, Marataízes, SP;Avenida Piraporinha ;866;;;Marataízes;SP;;Geral / Outros;Sem Categoria;Não Atribuído;04/05/2015 20:52;16;0;
465;Araujo & Silva Locadora de Veiculos Ltda - ME;Araujo & Silva Locadora de Veiculos Ltda - ME;;16726651000101;(11) 3542-9550;;;;;Rua Nossa Senhora da Lapa, 671, CONJ. 71, Lapa, Álvares Florence, SP, 05072000;Rua Nossa Senhora da Lapa;671;CONJ. 71;Lapa;Álvares Florence;SP;05072000;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:54;0;0;
92;Arco-Íris;Arco-Íris;;72077514000156;(17) 3206-2000;;;;;Rua Félicio Ferreira, 63, Distrito Industrial, Nova Brasilândia, SP, 15035610;Rua Félicio Ferreira;63;;Distrito Industrial;Nova Brasilândia;SP;15035610;Geral / Outros;Sem Categoria;Não Atribuído;09/03/2015 16:59;4;0;
226;Argenzio;Argenzio;;;(19) 3671-1064;;;;;Avenida Jose Beni, 880, Maria Helena, SP;Avenida Jose Beni;880;;;Maria Helena;SP;;Geral / Outros;Sem Categoria;Não Atribuído;26/05/2015 17:16;5;0;
269;Argenzio Laticinio;Argenzio Laticinio;;;(19) 98109-8314;;;;;Rua Jose Bene, 880, Casa Branca, Álvares Florence, SP;Rua Jose Bene;880;;Casa Branca;Álvares Florence;SP;;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:05;3;0;
364;Arrifana;Arrifana;;;(11) 2732-8000;;;;;Tineciro Icibaci, 2337, Álvares Florence, SP;Tineciro Icibaci;2337;;;Álvares Florence;SP;;Geral / Outros;Sem Categoria;Não Atribuído;27/05/2015 22:32;4;0;
283;Arroz Vasconcelos;Arroz Vasconcelos;;;(34) 2108-7979;;;;;Carlinda, MG;;;;;Carlinda;MG;;Geral / Outros;Sem Categoria;Não Atribuído;01/07/2015 21:42;2;0;
2331;Asservo;Asservo;;;(1) 14210-0119;;;;;Antônio Cardoso Franco, 155, Casa Branca, 09015530;Antônio Cardoso Franco;155;;Casa Branca;;;09015530;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
835;Associação dehoniana;Associação dehoniana;;;;;;;;SP;;;;;;SP;;Geral / Outros;Sem Categoria;Não Atribuído;24/08/2015 19:48;0;0;
2400;Associação Love;Associação Love;;;;;;;;Pedro Morganti, 147, Vila Mariana, 04020070;Pedro Morganti;147;;Vila Mariana;;;04020070;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
134;Associação Santa Teresinha;Associação Santa Teresinha;;;(11) 4181-2585;;;;;Deputado Emilio Carlos, 1235, Vila Caldas, Capela do Alto, SP;Deputado Emilio Carlos;1235;;Vila Caldas;Capela do Alto;SP;;Geral / Outros;Sem Categoria;Não Atribuído;07/07/2015 22:56;0;0;
718;Astra Frigorifico;Astra Frigorifico;;;(44) 36768100;;;;;Rua peabiru, Tabapuã, PR;Rua peabiru;;;;Tabapuã;PR;;Geral / Outros;Sem Categoria;Não Atribuído;01/09/2015 17:02;0;0;Clarissa está viajando até 15.09
800;Atacadao;Atacadao;;;(11) 2967-8283;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;15/09/2015 20:12;1;0;
568;Ati Latte;Ati Latte;;;;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;20/08/2015 21:37;1;0;
4;Atibaense Refrigerante;Atibaense Refrigerante;;;(11) 4411-4185;;;;;Richard Rix, 670, Aldeias Altas, SP;Richard Rix;670;;;Aldeias Altas;SP;;Geral / Outros;Sem Categoria;Não Atribuído;15/05/2015 18:11;3;0;
16;Atigel;Atigel;;;(11) 4411-5932;;karina@atigel.com.br;;;Rua Luiz Ribeiro Pinto, Conjunto Habitacional José Barnet Y Vives, Aldeias Altas, SP, 12951270;Rua Luiz Ribeiro Pinto;;;Conjunto Habitacional José Barnet Y Vives;Aldeias Altas;SP;12951270;Geral / Outros;Sem Categoria;Não Atribuído;10/08/2015 16:22;1;0;
62;Atilatte;Atilatte;;;(11) 4538-0107;;;;;Rodovia Dom Pedro I, 13257, Landri Sales, SP;Rodovia Dom Pedro I;13257;;;Landri Sales;SP;;Geral / Outros;Sem Categoria;Não Atribuído;24/06/2015 16:30;1;0;
8;Ativa Alimentação;Ativa Alimentação;;;(11) 47447990;(11) 47429492;silvia@ativaalimentacao.com.br;(11) 47429492;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;12/06/2015 02:18;2;0;
547;Ativa alimentos;Ativa alimentos;;;(11) 4744-7990;;silvia@ativaalimentacao.com.br;;;SP;;;;;;SP;;Geral / Outros;Sem Categoria;Não Atribuído;24/08/2015 21:52;0;1;
437;Auto Elétrico Biazzin;Auto Elétrico Biazzin;;55440648000170;(11) 3223-8335;;;;;Rua Jaraguá, 268, Bom Retiro, Álvares Florence, SP, 01129000;Rua Jaraguá;268;;Bom Retiro;Álvares Florence;SP;01129000;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:38;0;0;
2303;Auto Posto Guigui;Auto Posto Guigui;;;;;;;;Das Monções, 618, Jardim, 09090521;Das Monções;618;;Jardim;;;09090521;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
687;Autostar;Autostar;;;;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;23/10/2017 22:00;0;0;
2262;Autostar Grupo;Autostar Grupo;;;(1) 12344-4444;;;;;Morumbi, 6989, Morumbi, 05650002;Morumbi;6989;;Morumbi;;;05650002;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2224;Autostar Land Morumbi;Autostar Land Morumbi;;;(1) 12344-4444;;;;;Morumbi, 6989, Morumbi, 05650002;Morumbi;6989;;Morumbi;;;05650002;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
113;Bacardí;Bacardí;;;(11) 28333329;;fremiro@bacardi.com;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;06/07/2015 22:15;1;0;Comprador Marcos saiu, agora é com o Felipe.
400;Backed Potato;Backed Potato;;;(11) 98957-0430;;;;;Itaberaí, SP;;;;;Itaberaí;SP;;Geral / Outros;Sem Categoria;Não Atribuído;27/05/2015 22:17;5;0;
120;Balas Juquinha;Balas Juquinha;;;(11) 3186-6363;;;;www.juquinha.com.br;Avenida dos Estados, 1211, Vila Metalúrgica, Alcinópolis, SP, 09220570;Avenida dos Estados;1211;;Vila Metalúrgica;Alcinópolis;SP;09220570;Geral / Outros;Sem Categoria;Não Atribuído;06/10/2014 21:57;2;1;Balas e doces
2044;Bap - Barao;Bap - Barao;;;;;;;;Barão De Mauá, 2990, Jardim Maringá, 09340440;Barão De Mauá;2990;;Jardim Maringá;;;09340440;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2196;Bap Humaita;Bap Humaita;;;;;;;;Quatorze Bis, 15, Silveira, 09110290;Quatorze Bis;15;;Silveira;;;09110290;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2026;Bap - Rodoanel;Bap - Rodoanel;;;;;;;;Dos Estados, 10300, Capuava, 09380167;Dos Estados;10300;;Capuava;;;09380167;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2245;Bap - Sao Paulo;Bap - Sao Paulo;;;;;;;;Giovanni Battista Pirelli, 1980, Vila Homero Thon, 09111340;Giovanni Battista Pirelli;1980;;Vila Homero Thon;;;09111340;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
189;Bar Do Alemao;Bar Do Alemao;;;(11) 4612-6437;;;;;Rod. Raposo Tavares KM 22 Open Mall, Faxinal, SP;Rod. Raposo Tavares KM 22 Open Mall;;;;Faxinal;SP;;Geral / Outros;Sem Categoria;Não Atribuído;15/01/2015 19:19;4;0;
247;Bariloche;Bariloche;;;(11) 96399713;(11) 29882210;;(11) 29882210;;Av kennedy, SP;Av kennedy;;;;;SP;;Geral / Outros;Sem Categoria;Não Atribuído;15/06/2015 20:19;3;0;Inauguração da nova fábrica final de julho junto com pedido.
935;Batavo;Batavo;;;(43) 3231-8702;;;;;Nova Olinda, PR;;;;;Nova Olinda;PR;;Geral / Outros;Sem Categoria;Não Atribuído;01/09/2015 17:02;0;0;Rubens compras. Terceirizado
444;Batel Alimentos;Batel Alimentos;;;;;qualidade@latabledor.com.br;;;Rua Batel , 7;Rua Batel ;7;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;15/06/2015 20:35;2;0;Daniele irá testar os produtos essa semana. Ligar dia 13.07
66;Batie Massas;Batie Massas;;;(11) 2942-3000;;;;;Santa Gertrudes , SP;Santa Gertrudes ;;;;;SP;;Geral / Outros;Sem Categoria;Não Atribuído;28/05/2015 19:04;6;0;
890;Bauducco;Bauducco;;;(11) 2573-9632;;nadiam@bauducco.com.br;;;Rua Endres, 861, Vila Itapegica, Piraúba, SP;Rua Endres;861;;Vila Itapegica;Piraúba;SP;;Geral / Outros;Sem Categoria;Não Atribuído;15/09/2015 19:38;8;0;
2348;Bb;Bb;;;(1) 13647-4000;;;;;Mofarrej, 1504, Vila Leopoldina, 05311000;Mofarrej;1504;;Vila Leopoldina;;;05311000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
108;Bebidas 21 - Pirassuninga;Bebidas 21 - Pirassuninga;;;(19) 3561-5433;;;;;210, Rod. Anhanguera KM, Itumirim, SP;210;;;Rod. Anhanguera KM;Itumirim;SP;;Geral / Outros;Sem Categoria;Não Atribuído;23/06/2015 18:00;0;0;
93;Bebidas Piracaia;Bebidas Piracaia;;;(11) 4036-6611;;;;;Rodovia Jan antonim Bata , 90, Tabaporã, SP;Rodovia Jan antonim Bata ;90;;;Tabaporã;SP;;Geral / Outros;Sem Categoria;Não Atribuído;28/05/2015 19:04;8;0;
178;Bebidas Poty;Bebidas Poty;;;(17) 3827-9500;;;;;Caetano Bruno, 131, Alvinlândia, SP, 15105000;Caetano Bruno;131;;;Alvinlândia;SP;15105000;Geral / Outros;Sem Categoria;Não Atribuído;05/02/2015 20:08;14;0;
100;Beira Rio;Beira Rio;;;(16) 3832-8900;;;;www.beirarioagroindustrial.com.br;Figueirópolis, SP, 14610000;;;;;Figueirópolis;SP;14610000;Geral / Outros;Sem Categoria;Não Atribuído;07/10/2014 05:20;7;1;Graxaria
