ID;ID Servidor;Data;Empresa;Contato/Pessoa;Usuário;Texto do Histórico / Anotação
2526;8175384;11/03/2016 18:55:51;Freskito;;Renan;11/03/2016 Marcada novamente visita para dia 21/03 - parte da manhã - usa prodts ecolab, pediu amostra do contratipo topax 67 - detergente quaternário de amônia sem espuma / sapone bac / kimi liquid / neuter / pro hs - Adriana vai visitar
2508;8173607;11/03/2016 18:16:10;Frigorífico Boi Mix;;Alexandre Malhado;"Passar quando estiver indo para Estrela D´Oeste. Contato na empresa com Fernanda (recepcionista e compradora). Atualmente compra produtos do Faria.
Visitar sempre no período da tarde."
2591;8172997;11/03/2016 18:01:09;Laticínios Carolina;;Alexandre Malhado;Vinícius não se encontra na sala.
2553;8172586;11/03/2016 17:51:06;Divine Motel;;Alexandre Malhado;"Não consigo contato ia telefone. E-mail enviado novamente.
"
2581;8171848;11/03/2016 17:31:53;Hospital São Francisco de Assis;;Alexandre Malhado;Reunião realizada dia 08/03/16. Irei mandar documentação para agendarmos o teste com os produtos.
2530;8171773;11/03/2016 17:30:14;Salute São Carlos;;Alexandre Malhado;Regiane ainda encontra-se afastada. Previsão de retorno apenas em maio.
2595;8171665;11/03/2016 17:27:07;Beira Rio;;Alexandre Malhado;Ismael está de férias. Retorna dia 21-03-16.
2572;8170574;11/03/2016 16:51:40;Beni Car;;Alexandre Malhado;Cliente ativo.
2513;8157017;10/03/2016 20:48:16;Alimentos Wilson;;Victor;Ligar na segunda ou terça-feira para agendar na volta de Rio Preto.
2554;8156956;10/03/2016 20:45:40;Cooperativa Lar;;Victor;Ligar amanhã
2540;8156246;10/03/2016 20:23:32;New Millen;;Victor;Prima, lembrei de novo só no fim da  tarde. Está aí.
2507;8154544;10/03/2016 19:40:01;Hospital do Cancer de Barretos;;Victor;Denise vai fazer uma cirurgia semana que vem, e vai estar afastada até o fim de Março. Dar uma passada lá para alinhar início do novo trabalho.
2535;8154145;10/03/2016 19:31:07;Hospital Austa;;Alexandre Malhado;Contato por telefone não foi possível. Novo e-mail enviado.
2594;8152696;10/03/2016 18:57:01;Marilan;;Victor;"Edemir disse que ia passar planilha para Leticia com os produto aprovados, mas Irineu disse que ele ainda não passou.

Passar lá semana que vem quando estiver indo embora de Rio Preto"
2588;8152509;10/03/2016 18:53:05;Guabi Petcare;;Victor;Alderley disse que reprogramaram testes.
2590;8152382;10/03/2016 18:50:46;Frimesa - Medianeira;;Victor;"- Gilson de férias até início de Abril;
- Grazi vai fazer programação de compra dos produtos até 20/03
- Tudo OK
- Tentar passar lá semana que vem"
2583;8152280;10/03/2016 18:48:52;;;Victor;Acompanhamento da higienização marcado para 14/03 às 23:00.
2573;8152209;10/03/2016 18:47:32;Casa Suíca;;Victor;E-mail solicitando acompanhamento de higienização.
2503;8152040;10/03/2016 18:43:58;Bebidas Poty;;Victor;Não está essa semana. Ligar semana que vem e tentar agendar. Eles vão estar em auditoria.
2586;8151639;10/03/2016 18:35:46;Predilecta;;Victor;Vai estar em semana de auditoria. Tentar passar na outra semana.
2502;8151398;10/03/2016 18:30:34;Catupiry (Bebedouro);;Victor;Retornar em 24/03.  Está enrolada com auditorias.
2504;8142102;10/03/2016 13:46:48;New Italian;;Victor;Entrar em contato no início de Abril para agendar testa com André.
2567;8126295;09/03/2016 18:41:51;Suvide;;Adriana;Liguei hoje. Falei com a Simone. Ela disse que a Liliane não está, para eu tentar depois. 
2600;8126294;09/03/2016 18:40:16;Arabian Bread;;Adriana;Tentei mais uma vez agora à tarde, a Carla disse para eu retornar amanhã, pois a Vanessa está em reunião. 
2533;8102562;09/03/2016 14:42:35;Arabian Bread;;Adriana;Liguei hoje cedo. A menina que atendeu pediu para ligar à tarde. 
2505;8089563;08/03/2016 19:26:56;Jussara Leite;;Renan;08/03/2016 Liguei mas Wesley estava com ramal ocupado
2544;8085985;08/03/2016 18:09:57;Reação Brasil / Uniflavors;;Renan;"08.03.2016 - prospectado, porém Igor somente amanhã retornar, já enviado apresentação por e-mail
igor.simoes@reacaobrasil.com.br"
2596;8082759;08/03/2016 16:48:04;Arabian Bread;;Adriana;"Liguei hoje. Disseram que só vou conseguir falar com a Vanessa amanhã. 

"
2549;8082730;08/03/2016 16:47:26;Arabian Bread;;Adriana;Liguei sexta feira dia 4. A Vanessa estava em reunião. Não consegui contato o dia inteiro. 
2529;8077293;08/03/2016 13:43:06;Hikari;;Renan;08.03.2016 Falei com Alice, pediu apresentação por e-mail – alicemurai@hikari.com.br – trabalha com duas empresas mas não me passou o nome
2560;8076135;08/03/2016 13:16:02;Guimaconseco;;Adriana;Enviei e-mail para a Marisa cobrando andamento. 
2523;8074934;08/03/2016 12:46:57;Jazam Alimentos;;Victor;E-mail perguntando qual produto está sendo utilizado agora. Ficar em cima.
2517;8068442;07/03/2016 20:09:15;Hikari;;Renan;07.03.2016 Prospectei hoje, falei com Raquel da qualidade pediu p/retornar amanhã e falar com a Alice(qualidade)
2556;8019357;03/03/2016 17:19:15;Refrix;;Jessica;falei com o leandro, pediu para falar com o Isaac para dar seguimento.
2543;8005850;03/03/2016 16:44:07;Lat. Tiro;;Alexandre Malhado;Contato realizado com Patrícia, setor de compras. Ela solicitou um e-mail com nossos produtos e pediu para entrarmos em contato novamente no fim desse mês. 
2545;7995147;03/03/2016 10:12:56;Hospital São Francisco de Assis;;Alexandre Malhado;"Não mandaram o e-mail com a data da reunião. Mandei um e-mail solicitando uma data.
"
2593;7981419;02/03/2016 15:24:01;Nexx Móteis;;Adriana;Enviei e-mail para o Antônio Carlos como solicitado.
2577;7981273;02/03/2016 15:15:39;Nexx Móteis;;Adriana;"Liguei para o Antonio Carlos.

Ele disse que está super ocupado hoje em um motel. Pediu para enviar e-mail. "
2558;7980802;02/03/2016 14:56:59;Vivo Sabor - Cozinha Ind.;;Adriana;"Conversei com a Fátima hoje. 

Ela disse que não tem contrato com a Ericon, mas um acordo amigável até o meio deste ano. Para eu voltar a manter contato mais para frente.

Enviei nosso catálogo via e-mail para registrar meu contato. "
2550;7980587;02/03/2016 14:51:36;Vivo Sabor - Cozinha Ind.;;Adriana;Fátima.zanardo@grupovivosabor.com.br 
2561;7979995;02/03/2016 14:38:45;Guimaconseco;;Adriana;"Conversei com a Marisa hoje.

Ela disse que está bem atrasada com os nossos produtos da lavanderia, pois esteve muito tempo afastada.

Eu reencaminhei a cotação para que ela avalie ainda essa semana. "
2599;7979567;02/03/2016 14:29:30;FSB Foods;;Adriana;Liguei agora. Junior está em reunião. Continuar tentando.
2568;7979362;02/03/2016 14:25:38;Blue Tree Hotel - Anália Franco;;Adriana;"adm.afraco@bluetree.com.br 

E-mail da Cássia "
2551;7979264;02/03/2016 14:23:50;Blue Tree Hotel - Anália Franco;;Adriana;Cássia é a nova responsável por Compras. 
2547;7979166;02/03/2016 14:21:50;Arabian Bread;;Adriana;"Ligar dia 4 para a Vanessa.

Para confirmar se vamos testar na semana do dia 7 de março. "
2552;7979143;02/03/2016 14:21:15;Addoratti Festas;;Adriana;"Liguei agora para a Débora 

Ela disse que já dá um retorno por e-mail mesmo. "
2566;8006632;02/03/2016 14:13:00;Le Garcon Itaquacetuba;;Jessica;"instalar 1 diluidor 2 bicos.

6 saboneteiras 



neuteraxgreen

3.000 cl

mult 10.000

sapone bac

alcool liquido

alcool gel

pro grun"
2555;7966056;01/03/2016 19:24:33;Frigorifico Friato;;Jessica;Luciano não estava na sala.
2597;7964657;01/03/2016 18:56:33;Frigorífico Santa Lúcia;;Jessica;Enviado novamente cotação para Fernando.
2518;7964027;01/03/2016 18:42:24;Bebidas Piracaia;;Jessica;Não estava na sala.
2536;7963442;01/03/2016 18:32:24;Castelo alimentos.;;Jessica;Disse que não tinha recebido o email com tabela de equivalentes, reencaminhei.
2559;7963116;01/03/2016 18:25:40;Frigorifico Super Frango ;;Jessica;"Pediu para encaminhar fichas técnicas dos produtos.
Irá responder uma data para teste."
2579;7962602;01/03/2016 18:13:39;Doce Mineiro;;Jessica;"Falei com o Tadeu, pediu para retornar em março.
Vai agendar um teste."
2521;7958440;01/03/2016 16:09:23;Bebidas Piracaia;;Jessica;Fernando Gerente  Industrial -   
2506;7955346;01/03/2016 14:20:23;Boa Cozinha;;Adriana;"Alexandre retornou ao e-mail dizendo que deixou o catálogo com a Andreia, pois é agora a responsável pelo setor. 

E informou que não tem interesse em trocar de fornecedor tão breve. "
2574;7953227;01/03/2016 13:39:34;Frigosul;;Alexandre Malhado;Contato via telefone com Marcela. Disse que irá enviar hoje o e-mail com os produtos e quantidade dos produtos usados.
2565;7953039;01/03/2016 13:35:33;Beira Rio;;Alexandre Malhado;Visita realizada com sucesso. Beira Rio é uma graxaria de porte pequeno. Ismael disse que usa atualmente 75 litros de desengraxante e 50 litros de sabonete. Ele irá agendar uma data para teste.
2584;7950996;01/03/2016 12:51:27;Marilan;;Victor;Reencaminhado e-mail para Irineu. Ficar em cima.
2525;7949858;01/03/2016 12:20:56;Catupiry (Bebedouro);;Victor;Enviado e-mail para Thalita, para testarmos agora em Março.
2598;7949610;01/03/2016 12:13:14;Danone - Água;;Victor;Enviado e-mail para retomar conversa. Acompanhar.
2527;7939582;29/02/2016 19:07:24;Fugini;;Alexandre Malhado;Contato realizado.  Atendente pediu para enviar e-mail para Ângelo (setor de compras). E-mail enviado para compras2@fugini.com.br
2510;7939421;29/02/2016 19:04:29;Frig West;;Alexandre Malhado;Rui não se encontra na empresa.
2562;7938980;29/02/2016 18:55:54;Frigorífico Better Beef;;Alexandre Malhado;Nova tentativa de contato. Jaqueline pediu para que mandasse novo e-mail. E-mail enviado. Ligarei amanhã cedo para lembrá-la..
2511;7938161;29/02/2016 18:42:53;Salute São Carlos;;Alexandre Malhado;Regiane ainda se encontra afastada. Não responde aos e-mails. A atendente relatou que não ficou ninguém ocupando a vaga da Regiane. 
2520;7937539;29/02/2016 18:32:46;Laticinios Estrela D Oeste;;Alexandre Malhado;"Contato realizado com Laércio para verificar o resultado do teste:

PRO HA 3000 CL: Foi usado 700 ml para cada gerador de espuma. Resultado satisfatório.

ÁCIDO PERACÉTICO: Laércio está esperando terminar a reforma no laboratório para poder fazer os teste laboratoriais. O uso desse produto está suspenso até a reforma terminar. Essa reforma irá demorar mais duas semanas.

PRO HA ALC: Não apresentou resultado satisfatório. Iremos fazer novo teste."
2564;7936653;29/02/2016 18:17:51;Laticínios Carolina;;Alexandre Malhado;Contato realizado com Vinícius. Visita agendada para dia 04-03-16 às 16h00.
2546;7935176;29/02/2016 17:49:39;Refrix;;Jessica;documentado um email semana passada.
2532;7929432;29/02/2016 14:42:42;Pif Paf (Visconde do Rio Branco);;Victor;Enviar e-mail para Cassiana uma semana antes de ir para Visconde do Rio Branco, e visitá-la. Ela estará disponível em Abril.
2542;7920252;28/02/2016 19:32:03;Laticínios Carolina;;Renan;Já que o Vinícius não atendeu devia ter tentado falar com o Gerente Industrial de acordo com histórico que eu te falei, eu nunca falei com Vinicius, nós já estamos atrasados no cliente pois estavam trocando , espero não termos demorado demais, liga na segunda e agenda de irmos lá.
2516;7917374;26/02/2016 21:51:48;Laticínios Carolina;;Alexandre Malhado;"Contato realizado via telefone. O responsável pelo setor de higienização (Vinícius) estava em uma reunião e não foi possível me atender.
"
2585;7988656;25/02/2016 15:17:36;Santa Helena;;Victor;Regina foi simpática, estão na correria da implantação do SAP, vão estar na correria no meio do ano porque vem a safra de amendoim, mas mesmo assim pediu para ligar em Maio.
2580;7955245;25/02/2016 14:20:25;Jin Jin Sushi;;Adriana;Liguei para a Fatima do shopping Golden. Deixamos teste pré agendado para 2ª feira, dia 29 às 15h. 
2548;7955244;25/02/2016 14:19:27;Jin Jin Sushi;;Adriana;Liguei para o Flavio hoje. Ele disse que a Adriana está cumprindo aviso prévio, e que a Ana Paula vai ficar no lugar dela no Cidade Jardim. Esperar até semana que vem. 
2519;7879430;25/02/2016 13:37:19;Hospital São Francisco de Assis;;Alexandre Malhado;Contato realizado via telefone com Giselda. Ela irá marcar uma reunião para a próxima semana. Me avisará por e-mail.
2538;7877455;25/02/2016 12:55:04;Laticinios Estrela D Oeste;;Alexandre Malhado;"Teste realizado no dia 24-02-2016.

Nesse dia foi testado o PRO HA 3000 CL no chão da produção do laticínio. Usamos 500 ml para cada gerador de espuma. O resultado foi satisfatório, porém o encarregado do setor (Senhor Deva) disse que irá usar 700 ml.

ÁCIDO PERACÉTICO  será usado no dia de hoje. Após o uso o laboratório do próprio laticínio irá fazer testes para verificar se foi aprovado ou não.

PRO HA ALC também será usado hoje. Na data de ontem eles já haviam higienizado os latões.


 "
2501;7866929;24/02/2016 18:50:20;Castelo alimentos.;;Jessica;Falei com a Lilian, irá conversar para uma possivel teste.
2587;7862960;24/02/2016 17:29:39;Consuma;;Jessica;Reunião
2592;7862803;24/02/2016 17:26:12;Pro Nutri Refeições;;Jessica;Reunião
2557;7881268;24/02/2016 13:43:33;Boa Cozinha;;Adriana;Enviei e-mail ao Alexandre hoje registrando minha visita ontem. 
2514;7844471;23/02/2016 17:54:43;Boa Cozinha;;Adriana;"Visitei hoje. O Alexandre não pode me atender. Deixei catálogo e meu cartão com a Lilian. 

Enviar e-mail registrando a visita. "
2531;7841030;23/02/2016 17:49:23;Arabian Bread;;Adriana;"Liguei hoje à tarde. A Vanessa está em reunião.

A Carla pediu para voltar a ligar só amanhã. 

Enviei e-mail em seguida registrando minha ligação. "
2541;7841029;23/02/2016 17:48:43;Addoratti Festas;;Adriana;"Liguei hoje para a Débora.

Continuar contato diário. "
2569;7831137;23/02/2016 13:03:28;Neolat;;Alexandre Malhado;Gerson não mandou o e-mail que havia prometido. Tentei entrar em contato e não foi possível.
2524;7830472;23/02/2016 12:48:08;Hospital São Francisco de Assis;;Alexandre Malhado;Giselda estava em uma reunião e só poderá atender amanhã.
2576;7829959;23/02/2016 12:34:59;Hospital Austa;;Alexandre Malhado;"Email enviado dos produtos com o número da ANVISA, FISPQ e Boletins Técnicos.
Aguardando retorno."
2539;7828245;23/02/2016 11:27:41;Addoratti Festas;;Adriana;E-mail: deborapsda@gmail.com
2522;7828191;23/02/2016 10:46:29;Suvide;;Adriana;"Liguei hoje as 7h35, a Liliane chegou, mas teve que sair logo em seguida. 

Falei com a Rade. "
2534;7816222;22/02/2016 17:19:21;Frigosul;;Alexandre Malhado;Contato realizado rapidamente por telefone, uma vez que ela estava em reunião. Ela ratificou que irá mandar a quantidade e o nome dos produtos usados atualmente.
2457;7816060;22/02/2016 17:14:44;;Marcos;Alexandre Malhado;Visita realizada no dia 10-02-16. Marcos irá entrar em contato assim que avaliar o processo interno de higienização.
2438;7816049;22/02/2016 17:14:28;Guabi Petcare;;Victor;Alderley disse que testarão no início de Marco.
2454;7809544;22/02/2016 13:53:12;AB Brasil;;Alexandre Malhado;E-mail enviado para o Senhor Marcos perguntado se ele recebeu a resposta sobre as bactérias salmonella e listeria.
2484;7808892;22/02/2016 13:41:09;Divine Motel;;Alexandre Malhado;Nenhuma resposta. Novo e-mail enviado.
2477;7808020;22/02/2016 13:24:54;Frig West;;Alexandre Malhado;Rui não se encontra na empresa.
2444;7807260;22/02/2016 13:10:21;Fábricas de Doce Santa Helena;;Alexandre Malhado;"O primeiro e-mail enviado dia 21-01-16 não foi respondido. Mandei novo e-mail para francislaine.roberta@santahelena.com
Aguardando resposta."
2469;7806657;22/02/2016 12:59:05;Santa Casa de Auriflama;;Alexandre Malhado;Mirian relatou que a Santa Casa ainda continua com dificuldades e no momento não estão comprando de fornecedores.
2486;7806262;22/02/2016 12:51:00;Zippy Alimentos;;Alexandre Malhado;O pessoal do setor administrativo está de férias. Irão retornar dia 14-03-16.
2483;7806009;22/02/2016 12:45:28;Alimentos Wilson;;Alexandre Malhado;"Vera não faz mais parte da empresa. Agendei uma visita com Rachel (Controle de Qualidade) dia 04-03-2016 às 10h00. Mandar e-mail dia 02-04-2016 para lembrá-la da visita

rachelgama@alimentoswilson.com.br"
2496;7804792;22/02/2016 12:17:52;Beira Rio;;Alexandre Malhado;Visita agendada para dia 29-02-2016 às 08h30 com Ismael.
2471;7803833;22/02/2016 11:46:10;Frigorífico Olhos d'Agua;;Alexandre Malhado;Contato realizado via telefone. A pessoa responsável (Mari) está de férias e retornará dentro de 15 dias. 
2430;7803600;22/02/2016 11:36:20;Frango Ouro;;Alexandre Malhado;Débora não se encontra na empresa. Tentar mais tarde.
2466;7791935;19/02/2016 15:36:06;Frigosul;;Alexandre Malhado;E-mail enviado agradecendo a visita e lembrando sobre os produtos.
2435;7791738;19/02/2016 15:30:27;Frigosul;;Alexandre Malhado;Visita realizada no dia 17-02-16. Marcela irá passar por e-mail os produtos e a quantidade que utiliza atualmente.
2441;7791693;19/02/2016 15:28:56;Laticinios Estrela D Oeste;;Alexandre Malhado;Teste marcado para o dia 24-02-16 às 14h30.
2473;7754114;17/02/2016 17:45:53;Peralta Ambiental Robson;;Jessica;Aguardando tabela de preços e produtos.
2431;7747275;17/02/2016 14:58:12;A melhor alimentação Franco Da Rocha;;Jessica;Visita para instalação de diluidor sexta as 14:00 hs.
2446;7745937;17/02/2016 13:58:18;Pro Nutri Refeições;;Jessica;Reunião agendada para 07-03 as 16:00 hs
2411;7717394;16/02/2016 11:15:25;Guimaconseco;;Adriana;Liguei hoje para a Marisa, mas ela está ocupada e não pode atender. Enviei e-mail em seguida reforçando o contato. 
2472;7717393;16/02/2016 11:04:12;Suvide;;Adriana;"Liguei mais uma vez. 

A Rade atendeu e disse que ela não pode atender hoje, pois está fazendo fechamento. Deixei recado. 

"
2460;7716883;16/02/2016 11:02:51;Arabian Bread;;Adriana;"Liguei hoje cedo e conversei com a Carla.

Ela disse que hoje a Vanessa só pode receber ligação à tarde, pois está a manhã inteira com visita. 

Enviei e-mail em seguida registrando. "
2432;7713979;16/02/2016 08:49:36;Suvide;;Adriana;"Liguei hoje próximo às 7h30 no ramal da Liliane. 

Ela não está na sala. O Felipe atendeu e disse para ligar mais tarde. Deixei recado. "
2433;7713397;15/02/2016 20:24:11;El Botin;;Adriana;"Conversei com a Aline sobre os preços. Aguardar primeiro pedido.

E verificar data para instalação. "
2458;7712514;15/02/2016 18:01:00;Arabian Bread;;Adriana;"Reencaminhei a cotação.

Tentar levar pessoalmente. "
2497;7700594;15/02/2016 14:44:46;Hospital Austa;;Alexandre Malhado;"Pediu para enviar e-mail com as fichas técnicas e o número de registro da ANVISA.
"
2426;7699664;15/02/2016 14:08:50;Arabian Bread;;Adriana;"Tentei contato com a Vanessa para saber se tem dúvidas quanto à cotação, mas não consegui. 

Ficar em cima! "
2453;7692983;15/02/2016 11:09:09;Frigosul;;Alexandre Malhado;Visita agendada para dia 17/02 às 14h30 com Marcela.
2421;7692292;15/02/2016 10:54:37;Frigorífico Better Beef;;Alexandre Malhado;Jaqueline estava em treinamento.
2452;7681750;12/02/2016 17:24:53;Minerva Foods;;Victor;Vitor estará indo para Araguaína na semana que vem. Tentar visitar na outra semana. Está interessado em alinhar o teste logo, mas ainda não tem tudo que precisa resolvido.
2429;7679383;12/02/2016 16:32:27;Frigorifico Martini Alimentos;;Adriana;Enviei e-mail hoje para a Mary cobrando teste. 
2474;7675225;12/02/2016 14:23:49;Frig West;;Alexandre Malhado;Ligar após as 15 horas
2403;7675200;12/02/2016 14:21:34;Laticinios Estrela D Oeste;;Alexandre Malhado;Laércio fez uma viagem de trabalho e só voltará para a empresa na próxima quarta-feira
2467;7649859;11/02/2016 12:09:30;Special Dog;;Victor;Roberta está de férias. Evandro disse que ela volta dia 29 de Fevereiro. Tentar novamente.
